Tanggal,Beras Medium,Bawang Merah,Cabai Merah Keriting
01/01/2021,10967,33853,42353
01/02/2021,10967,33853,42353
01/03/2021,10967,33853,42353
01/04/2021,10967,33853,42353
01/05/2021,10967,33853,42353
01/06/2021,10967,33853,42353
01/07/2021,10967,33853,42353
01/08/2021,10967,33853,42353
01/09/2021,10967,33853,42353
01/10/2021,10967,33853,42353
01/11/2021,10967,33853,42353
01/12/2021,10967,33853,42353
01/13/2021,10967,33853,42353
01/14/2021,10967,33853,42353
01/15/2021,10967,33853,42353
01/16/2021,10967,33853,42353
01/17/2021,10967,33853,42353
01/18/2021,10967,33853,42353
01/19/2021,10967,33853,42353
01/20/2021,10967,33853,42353
01/21/2021,10967,33853,42353
01/22/2021,10967,33853,42353
01/23/2021,10967,33853,42353
01/24/2021,10967,33853,42353
01/25/2021,10967,33853,42353
01/26/2021,10967,33853,42353
01/27/2021,10967,33853,42353
01/28/2021,10967,33853,42353
01/29/2021,10967,33853,42353
01/30/2021,10967,33853,42353
01/31/2021,10967,33853,42353
02/01/2021,10873,31971,39211
02/02/2021,10873,31971,39211
02/03/2021,10873,31971,39211
02/04/2021,10873,31971,39211
02/05/2021,10873,31971,39211
02/06/2021,10873,31971,39211
02/07/2021,10873,31971,39211
02/08/2021,10873,31971,39211
02/09/2021,10873,31971,39211
02/10/2021,10873,31971,39211
02/11/2021,10873,31971,39211
02/12/2021,10873,31971,39211
02/13/2021,10873,31971,39211
02/14/2021,10873,31971,39211
02/15/2021,10873,31971,39211
02/16/2021,10873,31971,39211
02/17/2021,10873,31971,39211
02/18/2021,10873,31971,39211
02/19/2021,10873,31971,39211
02/20/2021,10873,31971,39211
02/21/2021,10873,31971,39211
02/22/2021,10873,31971,39211
02/23/2021,10873,31971,39211
02/24/2021,10873,31971,39211
02/25/2021,10873,31971,39211
02/26/2021,10873,31971,39211
02/27/2021,10873,31971,39211
02/28/2021,10873,31971,39211
03/01/2021,10853,33891,40951
03/02/2021,10853,33891,40951
03/03/2021,10853,33891,40951
03/04/2021,10853,33891,40951
03/05/2021,10853,33891,40951
03/06/2021,10853,33891,40951
03/07/2021,10853,33891,40951
03/08/2021,10853,33891,40951
03/09/2021,10853,33891,40951
03/10/2021,10853,33891,40951
03/11/2021,10853,33891,40951
03/12/2021,10853,33891,40951
03/13/2021,10853,33891,40951
03/14/2021,10853,33891,40951
03/15/2021,10853,33891,40951
03/16/2021,10853,33891,40951
03/17/2021,10853,33891,40951
03/18/2021,10853,33891,40951
03/19/2021,10853,33891,40951
03/20/2021,10853,33891,40951
03/21/2021,10853,33891,40951
03/22/2021,10853,33891,40951
03/23/2021,10853,33891,40951
03/24/2021,10853,33891,40951
03/25/2021,10853,33891,40951
03/26/2021,10853,33891,40951
03/27/2021,10853,33891,40951
03/28/2021,10853,33891,40951
03/29/2021,10853,33891,40951
03/30/2021,10853,33891,40951
03/31/2021,10853,33891,40951
04/01/2021,10894,34839,43740
04/02/2021,10894,34839,43740
04/03/2021,10894,34839,43740
04/04/2021,10894,34839,43740
04/05/2021,10894,34839,43740
04/06/2021,10894,34839,43740
04/07/2021,10894,34839,43740
04/08/2021,10894,34839,43740
04/09/2021,10894,34839,43740
04/10/2021,10894,34839,43740
04/11/2021,10894,34839,43740
04/12/2021,10894,34839,43740
04/13/2021,10894,34839,43740
04/14/2021,10894,34839,43740
04/15/2021,10894,34839,43740
04/16/2021,10894,34839,43740
04/17/2021,10894,34839,43740
04/18/2021,10894,34839,43740
04/19/2021,10894,34839,43740
04/20/2021,10894,34839,43740
04/21/2021,10894,34839,43740
04/22/2021,10894,34839,43740
04/23/2021,10894,34839,43740
04/24/2021,10894,34839,43740
04/25/2021,10894,34839,43740
04/26/2021,10894,34839,43740
04/27/2021,10894,34839,43740
04/28/2021,10894,34839,43740
04/29/2021,10894,34839,43740
04/30/2021,10894,34839,43740
05/01/2021,10868,34021,35674
05/02/2021,10868,34021,35674
05/03/2021,10868,34021,35674
05/04/2021,10868,34021,35674
05/05/2021,10868,34021,35674
05/06/2021,10868,34021,35674
05/07/2021,10868,34021,35674
05/08/2021,10868,34021,35674
05/09/2021,10868,34021,35674
05/10/2021,10868,34021,35674
05/11/2021,10868,34021,35674
05/12/2021,10868,34021,35674
05/13/2021,10868,34021,35674
05/14/2021,10868,34021,35674
05/15/2021,10868,34021,35674
05/16/2021,10868,34021,35674
05/17/2021,10868,34021,35674
05/18/2021,10868,34021,35674
05/19/2021,10868,34021,35674
05/20/2021,10868,34021,35674
05/21/2021,10868,34021,35674
05/22/2021,10868,34021,35674
05/23/2021,10868,34021,35674
05/24/2021,10868,34021,35674
05/25/2021,10868,34021,35674
05/26/2021,10868,34021,35674
05/27/2021,10868,34021,35674
05/28/2021,10868,34021,35674
05/29/2021,10868,34021,35674
05/30/2021,10868,34021,35674
05/31/2021,10868,34021,35674
06/01/2021,10808,31066,24730
06/02/2021,10808,31066,24730
06/03/2021,10808,31066,24730
06/04/2021,10808,31066,24730
06/05/2021,10808,31066,24730
06/06/2021,10808,31066,24730
06/07/2021,10808,31066,24730
06/08/2021,10808,31066,24730
06/09/2021,10808,31066,24730
06/10/2021,10808,31066,24730
06/11/2021,10808,31066,24730
06/12/2021,10808,31066,24730
06/13/2021,10808,31066,24730
06/14/2021,10808,31066,24730
06/15/2021,10808,31066,24730
06/16/2021,10808,31066,24730
06/17/2021,10808,31066,24730
06/18/2021,10808,31066,24730
06/19/2021,10808,31066,24730
06/20/2021,10808,31066,24730
06/21/2021,10808,31066,24730
06/22/2021,10808,31066,24730
06/23/2021,10808,31066,24730
06/24/2021,10808,31066,24730
06/25/2021,10808,31066,24730
06/26/2021,10808,31066,24730
06/27/2021,10808,31066,24730
06/28/2021,10808,31066,24730
06/29/2021,10808,31066,24730
06/30/2021,10808,31066,24730
07/01/2021,10863,32883,37730
07/02/2021,10863,32883,37730
07/03/2021,10863,32883,37730
07/04/2021,10863,32883,37730
07/05/2021,10863,32883,37730
07/06/2021,10863,32883,37730
07/07/2021,10863,32883,37730
07/08/2021,10863,32883,37730
07/09/2021,10863,32883,37730
07/10/2021,10863,32883,37730
07/11/2021,10863,32883,37730
07/12/2021,10863,32883,37730
07/13/2021,10863,32883,37730
07/14/2021,10863,32883,37730
07/15/2021,10863,32883,37730
07/16/2021,10863,32883,37730
07/17/2021,10863,32883,37730
07/18/2021,10863,32883,37730
07/19/2021,10863,32883,37730
07/20/2021,10863,32883,37730
07/21/2021,10863,32883,37730
07/22/2021,10863,32883,37730
07/23/2021,10863,32883,37730
07/24/2021,10863,32883,37730
07/25/2021,10863,32883,37730
07/26/2021,10863,32883,37730
07/27/2021,10863,32883,37730
07/28/2021,10863,32883,37730
07/29/2021,10863,32883,37730
07/30/2021,10863,32883,37730
07/31/2021,10863,32883,37730
08/01/2021,10943,33984,35784
08/02/2021,10943,33984,35784
08/03/2021,10943,33984,35784
08/04/2021,10943,33984,35784
08/05/2021,10943,33984,35784
08/06/2021,10943,33984,35784
08/07/2021,10943,33984,35784
08/08/2021,10943,33984,35784
08/09/2021,10943,33984,35784
08/10/2021,10943,33984,35784
08/11/2021,10943,33984,35784
08/12/2021,10943,33984,35784
08/13/2021,10943,33984,35784
08/14/2021,10943,33984,35784
08/15/2021,10943,33984,35784
08/16/2021,10943,33984,35784
08/17/2021,10943,33984,35784
08/18/2021,10943,33984,35784
08/19/2021,10943,33984,35784
08/20/2021,10943,33984,35784
08/21/2021,10943,33984,35784
08/22/2021,10943,33984,35784
08/23/2021,10943,33984,35784
08/24/2021,10943,33984,35784
08/25/2021,10943,33984,35784
08/26/2021,10943,33984,35784
08/27/2021,10943,33984,35784
08/28/2021,10943,33984,35784
08/29/2021,10943,33984,35784
08/30/2021,10943,33984,35784
08/31/2021,10943,33984,35784
09/01/2021,10928,29915,33762
09/02/2021,10928,29915,33762
09/03/2021,10928,29915,33762
09/04/2021,10928,29915,33762
09/05/2021,10928,29915,33762
09/06/2021,10928,29915,33762
09/07/2021,10928,29915,33762
09/08/2021,10928,29915,33762
09/09/2021,10928,29915,33762
09/10/2021,10928,29915,33762
09/11/2021,10928,29915,33762
09/12/2021,10928,29915,33762
09/13/2021,10928,29915,33762
09/14/2021,10928,29915,33762
09/15/2021,10928,29915,33762
09/16/2021,10928,29915,33762
09/17/2021,10928,29915,33762
09/18/2021,10928,29915,33762
09/19/2021,10928,29915,33762
09/20/2021,10928,29915,33762
09/21/2021,10928,29915,33762
09/22/2021,10928,29915,33762
09/23/2021,10928,29915,33762
09/24/2021,10928,29915,33762
09/25/2021,10928,29915,33762
09/26/2021,10928,29915,33762
09/27/2021,10928,29915,33762
09/28/2021,10928,29915,33762
09/29/2021,10928,29915,33762
09/30/2021,10928,29915,33762
10/01/2021,10910,28593,36946
10/02/2021,10910,28593,36946
10/03/2021,10910,28593,36946
10/04/2021,10910,28593,36946
10/05/2021,10910,28593,36946
10/06/2021,10910,28593,36946
10/07/2021,10910,28593,36946
10/08/2021,10910,28593,36946
10/09/2021,10910,28593,36946
10/10/2021,10910,28593,36946
10/11/2021,10910,28593,36946
10/12/2021,10910,28593,36946
10/13/2021,10910,28593,36946
10/14/2021,10910,28593,36946
10/15/2021,10910,28593,36946
10/16/2021,10910,28593,36946
10/17/2021,10910,28593,36946
10/18/2021,10910,28593,36946
10/19/2021,10910,28593,36946
10/20/2021,10910,28593,36946
10/21/2021,10910,28593,36946
10/22/2021,10910,28593,36946
10/23/2021,10910,28593,36946
10/24/2021,10910,28593,36946
10/25/2021,10910,28593,36946
10/26/2021,10910,28593,36946
10/27/2021,10910,28593,36946
10/28/2021,10910,28593,36946
10/29/2021,10910,28593,36946
10/30/2021,10910,28593,36946
10/31/2021,10910,28593,36946
11/01/2021,10872,28017,44071
11/02/2021,10872,28017,44071
11/03/2021,10872,28017,44071
11/04/2021,10872,28017,44071
11/05/2021,10872,28017,44071
11/06/2021,10872,28017,44071
11/07/2021,10872,28017,44071
11/08/2021,10872,28017,44071
11/09/2021,10872,28017,44071
11/10/2021,10872,28017,44071
11/11/2021,10872,28017,44071
11/12/2021,10872,28017,44071
11/13/2021,10872,28017,44071
11/14/2021,10872,28017,44071
11/15/2021,10872,28017,44071
11/16/2021,10872,28017,44071
11/17/2021,10872,28017,44071
11/18/2021,10872,28017,44071
11/19/2021,10872,28017,44071
11/20/2021,10872,28017,44071
11/21/2021,10872,28017,44071
11/22/2021,10872,28017,44071
11/23/2021,10872,28017,44071
11/24/2021,10872,28017,44071
11/25/2021,10872,28017,44071
11/26/2021,10872,28017,44071
11/27/2021,10872,28017,44071
11/28/2021,10872,28017,44071
11/29/2021,10872,28017,44071
11/30/2021,10872,28017,44071
12/01/2021,10895,28381,31426
12/02/2021,10895,28381,31426
12/03/2021,10895,28381,31426
12/04/2021,10895,28381,31426
12/05/2021,10895,28381,31426
12/06/2021,10895,28381,31426
12/07/2021,10895,28381,31426
12/08/2021,10895,28381,31426
12/09/2021,10895,28381,31426
12/10/2021,10895,28381,31426
12/11/2021,10895,28381,31426
12/12/2021,10895,28381,31426
12/13/2021,10895,28381,31426
12/14/2021,10895,28381,31426
12/15/2021,10895,28381,31426
12/16/2021,10895,28381,31426
12/17/2021,10895,28381,31426
12/18/2021,10895,28381,31426
12/19/2021,10895,28381,31426
12/20/2021,10895,28381,31426
12/21/2021,10895,28381,31426
12/22/2021,10895,28381,31426
12/23/2021,10895,28381,31426
12/24/2021,10895,28381,31426
12/25/2021,10895,28381,31426
12/26/2021,10895,28381,31426
12/27/2021,10895,28381,31426
12/28/2021,10895,28381,31426
12/29/2021,10895,28381,31426
12/30/2021,10895,28381,31426
12/31/2021,10895,28381,31426
01/01/2022,10901,30160,20378
01/02/2022,10901,30160,20378
01/03/2022,10901,30160,20378
01/04/2022,10901,30160,20378
01/05/2022,10901,30160,20378
01/06/2022,10901,30160,20378
01/07/2022,10901,30160,20378
01/08/2022,10901,30160,20378
01/09/2022,10901,30160,20378
01/10/2022,10901,30160,20378
01/11/2022,10901,30160,20378
01/12/2022,10901,30160,20378
01/13/2022,10901,30160,20378
01/14/2022,10901,30160,20378
01/15/2022,10901,30160,20378
01/16/2022,10901,30160,20378
01/17/2022,10901,30160,20378
01/18/2022,10901,30160,20378
01/19/2022,10901,30160,20378
01/20/2022,10901,30160,20378
01/21/2022,10901,30160,20378
01/22/2022,10901,30160,20378
01/23/2022,10901,30160,20378
01/24/2022,10901,30160,20378
01/25/2022,10901,30160,20378
01/26/2022,10901,30160,20378
01/27/2022,10901,30160,20378
01/28/2022,10901,30160,20378
01/29/2022,10901,30160,20378
01/30/2022,10901,30160,20378
01/31/2022,10901,30160,20378
02/01/2022,10776,31982,29790
02/02/2022,10776,31982,29790
02/03/2022,10776,31982,29790
02/04/2022,10776,31982,29790
02/05/2022,10776,31982,29790
02/06/2022,10776,31982,29790
02/07/2022,10776,31982,29790
02/08/2022,10776,31982,29790
02/09/2022,10776,31982,29790
02/10/2022,10776,31982,29790
02/11/2022,10776,31982,29790
02/12/2022,10776,31982,29790
02/13/2022,10776,31982,29790
02/14/2022,10776,31982,29790
02/15/2022,10776,31982,29790
02/16/2022,10776,31982,29790
02/17/2022,10776,31982,29790
02/18/2022,10776,31982,29790
02/19/2022,10776,31982,29790
02/20/2022,10776,31982,29790
02/21/2022,10776,31982,29790
02/22/2022,10776,31982,29790
02/23/2022,10776,31982,29790
02/24/2022,10776,31982,29790
02/25/2022,10776,31982,29790
02/26/2022,10776,31982,29790
02/27/2022,10776,31982,29790
02/28/2022,10776,31982,29790
03/01/2022,10785,36265,52180
03/02/2022,10785,36265,52180
03/03/2022,10785,36265,52180
03/04/2022,10785,36265,52180
03/05/2022,10785,36265,52180
03/06/2022,10785,36265,52180
03/07/2022,10785,36265,52180
03/08/2022,10785,36265,52180
03/09/2022,10785,36265,52180
03/10/2022,10785,36265,52180
03/11/2022,10785,36265,52180
03/12/2022,10785,36265,52180
03/13/2022,10785,36265,52180
03/14/2022,10785,36265,52180
03/15/2022,10785,36265,52180
03/16/2022,10785,36265,52180
03/17/2022,10785,36265,52180
03/18/2022,10785,36265,52180
03/19/2022,10785,36265,52180
03/20/2022,10785,36265,52180
03/21/2022,10785,36265,52180
03/22/2022,10785,36265,52180
03/23/2022,10785,36265,52180
03/24/2022,10785,36265,52180
03/25/2022,10785,36265,52180
03/26/2022,10785,36265,52180
03/27/2022,10785,36265,52180
03/28/2022,10785,36265,52180
03/29/2022,10785,36265,52180
03/30/2022,10785,36265,52180
03/31/2022,10785,36265,52180
04/01/2022,10764,34322,40686
04/02/2022,10764,34322,40686
04/03/2022,10764,34322,40686
04/04/2022,10764,34322,40686
04/05/2022,10764,34322,40686
04/06/2022,10764,34322,40686
04/07/2022,10764,34322,40686
04/08/2022,10764,34322,40686
04/09/2022,10764,34322,40686
04/10/2022,10764,34322,40686
04/11/2022,10764,34322,40686
04/12/2022,10764,34322,40686
04/13/2022,10764,34322,40686
04/14/2022,10764,34322,40686
04/15/2022,10764,34322,40686
04/16/2022,10764,34322,40686
04/17/2022,10764,34322,40686
04/18/2022,10764,34322,40686
04/19/2022,10764,34322,40686
04/20/2022,10764,34322,40686
04/21/2022,10764,34322,40686
04/22/2022,10764,34322,40686
04/23/2022,10764,34322,40686
04/24/2022,10764,34322,40686
04/25/2022,10764,34322,40686
04/26/2022,10764,34322,40686
04/27/2022,10764,34322,40686
04/28/2022,10764,34322,40686
04/29/2022,10764,34322,40686
04/30/2022,10764,34322,40686
05/01/2022,10738,37046,34702
05/02/2022,10738,37046,34702
05/03/2022,10738,37046,34702
05/04/2022,10738,37046,34702
05/05/2022,10738,37046,34702
05/06/2022,10738,37046,34702
05/07/2022,10738,37046,34702
05/08/2022,10738,37046,34702
05/09/2022,10738,37046,34702
05/10/2022,10738,37046,34702
05/11/2022,10738,37046,34702
05/12/2022,10738,37046,34702
05/13/2022,10738,37046,34702
05/14/2022,10738,37046,34702
05/15/2022,10738,37046,34702
05/16/2022,10738,37046,34702
05/17/2022,10738,37046,34702
05/18/2022,10738,37046,34702
05/19/2022,10738,37046,34702
05/20/2022,10738,37046,34702
05/21/2022,10738,37046,34702
05/22/2022,10738,37046,34702
05/23/2022,10738,37046,34702
05/24/2022,10738,37046,34702
05/25/2022,10738,37046,34702
05/26/2022,10738,37046,34702
05/27/2022,10738,37046,34702
05/28/2022,10738,37046,34702
05/29/2022,10738,37046,34702
05/30/2022,10738,37046,34702
05/31/2022,10738,37046,34702
06/01/2022,10772,52190,70083
06/02/2022,10772,52190,70083
06/03/2022,10772,52190,70083
06/04/2022,10772,52190,70083
06/05/2022,10772,52190,70083
06/06/2022,10772,52190,70083
06/07/2022,10772,52190,70083
06/08/2022,10772,52190,70083
06/09/2022,10772,52190,70083
06/10/2022,10772,52190,70083
06/11/2022,10772,52190,70083
06/12/2022,10772,52190,70083
06/13/2022,10772,52190,70083
06/14/2022,10772,52190,70083
06/15/2022,10772,52190,70083
06/16/2022,10772,52190,70083
06/17/2022,10772,52190,70083
06/18/2022,10772,52190,70083
06/19/2022,10772,52190,70083
06/20/2022,10772,52190,70083
06/21/2022,10772,52190,70083
06/22/2022,10772,52190,70083
06/23/2022,10772,52190,70083
06/24/2022,10772,52190,70083
06/25/2022,10772,52190,70083
06/26/2022,10772,52190,70083
06/27/2022,10772,52190,70083
06/28/2022,10772,52190,70083
06/29/2022,10772,52190,70083
06/30/2022,10772,52190,70083
07/01/2022,10744,55078,91876
07/02/2022,10744,55078,91876
07/03/2022,10744,55078,91876
07/04/2022,10744,55078,91876
07/05/2022,10744,55078,91876
07/06/2022,10744,55078,91876
07/07/2022,10744,55078,91876
07/08/2022,10744,55078,91876
07/09/2022,10744,55078,91876
07/10/2022,10744,55078,91876
07/11/2022,10744,55078,91876
07/12/2022,10744,55078,91876
07/13/2022,10744,55078,91876
07/14/2022,10744,55078,91876
07/15/2022,10744,55078,91876
07/16/2022,10744,55078,91876
07/17/2022,10744,55078,91876
07/18/2022,10744,55078,91876
07/19/2022,10744,55078,91876
07/20/2022,10744,55078,91876
07/21/2022,10744,55078,91876
07/22/2022,10744,55078,91876
07/23/2022,10744,55078,91876
07/24/2022,10744,55078,91876
07/25/2022,10744,55078,91876
07/26/2022,10744,55078,91876
07/27/2022,10744,55078,91876
07/28/2022,10744,55078,91876
07/29/2022,10744,55078,91876
07/30/2022,10744,55078,91876
07/31/2022,10744,55078,91876
08/01/2022,10892,35445,85468
08/02/2022,10892,35445,85468
08/03/2022,10892,35445,85468
08/04/2022,10892,35445,85468
08/05/2022,10892,35445,85468
08/06/2022,10892,35445,85468
08/07/2022,10892,35445,85468
08/08/2022,10892,35445,85468
08/09/2022,10892,35445,85468
08/10/2022,10892,35445,85468
08/11/2022,10892,35445,85468
08/12/2022,10892,35445,85468
08/13/2022,10892,35445,85468
08/14/2022,10892,35445,85468
08/15/2022,10892,35445,85468
08/16/2022,10892,35445,85468
08/17/2022,10892,35445,85468
08/18/2022,10892,35445,85468
08/19/2022,10892,35445,85468
08/20/2022,10892,35445,85468
08/21/2022,10892,35445,85468
08/22/2022,10892,35445,85468
08/23/2022,10892,35445,85468
08/24/2022,10892,35445,85468
08/25/2022,10892,35445,85468
08/26/2022,10892,35445,85468
08/27/2022,10892,35445,85468
08/28/2022,10892,35445,85468
08/29/2022,10892,35445,85468
08/30/2022,10892,35445,85468
08/31/2022,10892,35445,85468
09/01/2022,11096,29254,94393
09/02/2022,11096,29254,94393
09/03/2022,11096,29254,94393
09/04/2022,11096,29254,94393
09/05/2022,11096,29254,94393
09/06/2022,11096,29254,94393
09/07/2022,11096,29254,94393
09/08/2022,11096,29254,94393
09/09/2022,11096,29254,94393
09/10/2022,11096,29254,94393
09/11/2022,11096,29254,94393
09/12/2022,11096,29254,94393
09/13/2022,11096,29254,94393
09/14/2022,11096,29254,94393
09/15/2022,11096,29254,94393
09/16/2022,11096,29254,94393
09/17/2022,11096,29254,94393
09/18/2022,11096,29254,94393
09/19/2022,11096,29254,94393
09/20/2022,11096,29254,94393
09/21/2022,11096,29254,94393
09/22/2022,11096,29254,94393
09/23/2022,11096,29254,94393
09/24/2022,11096,29254,94393
09/25/2022,11096,29254,94393
09/26/2022,11096,29254,94393
09/27/2022,11096,29254,94393
09/28/2022,11096,29254,94393
09/29/2022,11096,29254,94393
09/30/2022,11096,29254,94393
10/01/2022,11236,34206,40395
10/02/2022,11236,34206,40395
10/03/2022,11236,34206,40395
10/04/2022,11236,34206,40395
10/05/2022,11236,34206,40395
10/06/2022,11236,34206,40395
10/07/2022,11236,34206,40395
10/08/2022,11236,34206,40395
10/09/2022,11236,34206,40395
10/10/2022,11236,34206,40395
10/11/2022,11236,34206,40395
10/12/2022,11236,34206,40395
10/13/2022,11236,34206,40395
10/14/2022,11236,34206,40395
10/15/2022,11236,34206,40395
10/16/2022,11236,34206,40395
10/17/2022,11236,34206,40395
10/18/2022,11236,34206,40395
10/19/2022,11236,34206,40395
10/20/2022,11236,34206,40395
10/21/2022,11236,34206,40395
10/22/2022,11236,34206,40395
10/23/2022,11236,34206,40395
10/24/2022,11236,34206,40395
10/25/2022,11236,34206,40395
10/26/2022,11236,34206,40395
10/27/2022,11236,34206,40395
10/28/2022,11236,34206,40395
10/29/2022,11236,34206,40395
10/30/2022,11236,34206,40395
10/31/2022,11236,34206,40395
11/01/2022,11231,35073,30859
11/02/2022,11231,35073,30859
11/03/2022,11231,35073,30859
11/04/2022,11231,35073,30859
11/05/2022,11231,35073,30859
11/06/2022,11231,35073,30859
11/07/2022,11231,35073,30859
11/08/2022,11231,35073,30859
11/09/2022,11231,35073,30859
11/10/2022,11231,35073,30859
11/11/2022,11231,35073,30859
11/12/2022,11231,35073,30859
11/13/2022,11231,35073,30859
11/14/2022,11231,35073,30859
11/15/2022,11231,35073,30859
11/16/2022,11231,35073,30859
11/17/2022,11231,35073,30859
11/18/2022,11231,35073,30859
11/19/2022,11231,35073,30859
11/20/2022,11231,35073,30859
11/21/2022,11231,35073,30859
11/22/2022,11231,35073,30859
11/23/2022,11231,35073,30859
11/24/2022,11231,35073,30859
11/25/2022,11231,35073,30859
11/26/2022,11231,35073,30859
11/27/2022,11231,35073,30859
11/28/2022,11231,35073,30859
11/29/2022,11231,35073,30859
11/30/2022,11231,35073,30859
12/01/2022,11186,33209,36048
12/02/2022,11186,33209,36048
12/03/2022,11186,33209,36048
12/04/2022,11186,33209,36048
12/05/2022,11186,33209,36048
12/06/2022,11186,33209,36048
12/07/2022,11186,33209,36048
12/08/2022,11186,33209,36048
12/09/2022,11186,33209,36048
12/10/2022,11186,33209,36048
12/11/2022,11186,33209,36048
12/12/2022,11186,33209,36048
12/13/2022,11186,33209,36048
12/14/2022,11186,33209,36048
12/15/2022,11186,33209,36048
12/16/2022,11186,33209,36048
12/17/2022,11186,33209,36048
12/18/2022,11186,33209,36048
12/19/2022,11186,33209,36048
12/20/2022,11186,33209,36048
12/21/2022,11186,33209,36048
12/22/2022,11186,33209,36048
12/23/2022,11186,33209,36048
12/24/2022,11186,33209,36048
12/25/2022,11186,33209,36048
12/26/2022,11186,33209,36048
12/27/2022,11186,33209,36048
12/28/2022,11186,33209,36048
12/29/2022,11186,33209,36048
12/30/2022,11186,33209,36048
